id,raw_text,normalized_text,label,aspect,style,noise_types,difficulty,canonical_group_id,generation_batch,approved
curated-v2-0000,"Sau 20.000 km, động cơ Mazda CX-5 vẫn êm như lúc mới nhận xe, tăng tốc mượt không giật cục.","Sau 20.000 km, động cơ Mazda cũng-5 vẫn êm như lúc mới nhận xe, tăng tốc mượt không giật cục.",positive,động cơ,review,[],easy,curated-v2-g0000,curated-v2,approved
curated-v2-0001,"Toy Camry 2.5 của anh chạy nghề 5 năm máy vẫn bốc, lên 120km/h nhẹ nhàng lắm.","Toyota Camry 2.5 của anh chạy nghề 5 năm máy vẫn bốc, lên 120km/h nhẹ nhàng lắm.",positive,động cơ,review,"[""brand_alias""]",easy,curated-v2-g0001,curated-v2,approved
curated-v2-0002,"Động cơ Vinfast VF 7 chạy đường trường rất im, tới 100km/h là chỉ còn nghe gió thôi.","Động cơ Vinfast Vinfast 7 chạy đường trường rất im, tới 100km/h là chỉ còn nghe gió thôi.",positive,động cơ,review,[],easy,curated-v2-g0002,curated-v2,approved
curated-v2-0003,"Ghế da của Hyundai SantaFe ngồi đường dài không mỏi lưng, đệm dày vừa đủ êm.","Ghế da của Hyundai SantaFe ngồi đường dài không mỏi lưng, đệm dày vừa đủ êm.",positive,nội thất,review,[],easy,curated-v2-g0003,curated-v2,approved
curated-v2-0004,"Kia Sorento hoàn thiện cabin rấttt chắc tay, đi 2 năm không thấy kêu ọp ẹp gì sất.","Kia Sorento hoàn thiện cabin rất chắc tay, đi 2 năm không thấy kêu ọp ẹp gì sất.",positive,nội thất,review,"[""elongation""]",medium,curated-v2-g0004,curated-v2,approved
curated-v2-0005,Mazda2 ở mức dưới 500 triệu mà được trang bị như vậy là quá hời cho người lần đầu mua xe.,Mazda2 ở mức dưới 500 triệu mà được trang bị như vậy là quá hời cho người lần đầu mua xe.,positive,giá cả,review,[],easy,curated-v2-g0005,curated-v2,approved
curated-v2-0006,"Giá Ford Territory sau khi giảm đang tốt ghê, mua dc tặng thêm phụ kiện đủ luôn.","Giá Ford Territory sau khi giảm đang tốt ghê, mua được tặng thêm phụ kiện đủ luôn.",positive,giá cả,review,"[""teencode""]",medium,curated-v2-g0006,curated-v2,approved
curated-v2-0007,"Máy Hyundai Tucson trên cao tốc có phần hụt hơi, vượt xe phải đạp sâu mới gượng nổi.","Máy Hyundai Tucson trên cao tốc có phần hụt hơi, vượt xe phải đạp sâu mới gượng nổi.",negative,động cơ,review,[],medium,curated-v2-g0007,curated-v2,approved
curated-v2-0008,"Nội thất Mitsubishi Xforce ồn quá trời, đi qua đường xấu nghe lạch cạch rõ 😡","Nội thất Mitsubishi Xforce ồn quá trời, đi qua đường xấu nghe lạch cạch rõ 😡",negative,nội thất,review,"[""emoji""]",easy,curated-v2-g0008,curated-v2,approved
curated-v2-0009,"Vinfast VF 6 sau 3 năm bán lại mất gần nửa giá, ai định chạy lâu phải tính kỹ chuyện này.","Vinfast Vinfast 6 sau 3 năm bán lại mất gần nửa giá, ai định chạy lâu phải tính kỹ chuyện này.",negative,giá cả,review,[],medium,curated-v2-g0009,curated-v2,approved
